# generated using QSOGen (Temple+2021) https://arxiv.org/abs/2109.04472
# g,r,i,z,Y are for DECam and AB
# J,H,Ks are VISTA and AB
# WISE are in Vega (and therefore K2-W1 or z-W1 are in the weird AB-VEGA convention)
redshift g-r r-i i-z z-Y Y-J J-H H-Ks Ks-W1 W1-W2 W2-W3 W3-W4
5.590180360721443087e+00 inf 1.560474076728148418e+00 5.982407114087280320e-01 1.549288386059437528e-01 1.332474802174985484e-01 7.812770408677138789e-02 8.351175745968575370e-02 2.540186242414563367e+00 7.963340462770887029e-01 3.098376141077768153e+00 2.242719061427859373e+00
5.593186372745490686e+00 inf 1.550163268199280964e+00 6.113828346905947342e-01 1.532153643131479726e-01 1.355855803477510335e-01 7.783478711313662757e-02 8.386173761783766167e-02 2.540728097154996590e+00 7.962331415279599867e-01 3.097315481294559802e+00 2.243300524259153050e+00
5.596192384769539174e+00 inf 1.550497148459577090e+00 6.138177653348400042e-01 1.514780052113984254e-01 1.379115181303980364e-01 7.754163094638144571e-02 8.421596758007865446e-02 2.540321665960114217e+00 7.971217344591750020e-01 3.096127708999006245e+00 2.243951544499036999e+00
5.599198396793586774e+00 inf 1.566398521484508422e+00 6.054622882245723758e-01 1.497679208856972366e-01 1.402332182048837694e-01 7.727634445000219898e-02 8.454652748379487548e-02 2.540105587656402264e+00 7.979298237375118674e-01 3.094807983633916848e+00 2.244618931689048580e+00
5.602204408817635262e+00 inf 1.553329245022833760e+00 6.188323628479004412e-01 1.480437496882700543e-01 1.425217621601682083e-01 7.702920341760233214e-02 8.488359178298310326e-02 2.540880398038616761e+00 7.975481956974803666e-01 3.093735771960258063e+00 2.245243746148132047e+00
5.605210420841683749e+00 inf 1.556798036762600645e+00 6.214397269336622287e-01 1.463385738141376180e-01 1.448556513112890798e-01 7.673726667414015878e-02 8.522899403844874655e-02 2.543086935466469356e+00 7.959985670562517157e-01 3.092435869266683568e+00 2.245834491648041720e+00
5.608216432865731349e+00 inf 1.544325700479859620e+00 6.349426132902067366e-01 1.446214943908294970e-01 1.471446939072258431e-01 7.649692324220325190e-02 8.557472357597006862e-02 2.545884345260191139e+00 7.936028213419739075e-01 3.091495573230140792e+00 2.246333809115981239e+00
5.611222444889779837e+00 inf 1.559853115224907327e+00 6.263100947468025481e-01 1.429260618864844901e-01 1.494480486205027603e-01 7.622288463591431196e-02 8.589555081702471284e-02 2.546723635962905519e+00 7.928409779414025138e-01 3.090427940045126221e+00 2.247209441108033445e+00
5.614228456913827436e+00 inf 1.559618974281193005e+00 6.289967909254912115e-01 1.412541976242991382e-01 1.517336041410075609e-01 7.596953035021059009e-02 8.618816657664396530e-02 2.545091172478336716e+00 7.939785021938519094e-01 3.089463953161315501e+00 2.248471978091407308e+00
5.617234468937875924e+00 inf 1.549183182663359304e+00 6.426802376666813643e-01 1.395877773290479240e-01 1.540150807025852941e-01 7.569887732638136413e-02 8.652960359068728735e-02 2.543465417525212047e+00 7.958954517771203996e-01 3.088429843971045585e+00 2.249128989252962896e+00
5.620240480961923524e+00 inf 1.554415630186198882e+00 6.451277344860315566e-01 1.379495943554260862e-01 1.563014648644909244e-01 7.543362532503294915e-02 8.686587465672701569e-02 2.542706270951676117e+00 7.970999393672890676e-01 3.087230498148496594e+00 2.249793625215199100e+00
5.623246492985972012e+00 inf 1.566259504774482281e+00 6.365126790726058914e-01 1.362989152216265154e-01 1.585341302065970126e-01 7.520083489832529722e-02 8.720996301018502095e-02 2.543214177620399141e+00 7.966461181942037229e-01 3.086450256504772227e+00 2.250427450001797780e+00
5.626252505010019611e+00 inf 1.555647165611883764e+00 6.503947733362664962e-01 1.346785028424832831e-01 1.608138922340494048e-01 7.491837922222899238e-02 8.755565744491633495e-02 2.545158582945425962e+00 7.951868697170496603e-01 3.085300657970368121e+00 2.251006533941449561e+00
5.629258517034068099e+00 inf 1.554129002978392293e+00 6.529710133114754456e-01 1.330790407721487156e-01 1.630202784636125557e-01 7.469244914098283061e-02 8.791120924871620446e-02 2.546929425669869573e+00 7.940355068229401070e-01 3.084114892614659098e+00 2.251494751298716679e+00
5.632264529058116587e+00 inf 1.570110572009948413e+00 6.440328010263414171e-01 1.314807913194222522e-01 1.652568611032343426e-01 7.441358003801923360e-02 8.825410698194247061e-02 2.547520572827348673e+00 7.933262218795888998e-01 3.083201021538476638e+00 2.252367765584430970e+00
5.635270541082164186e+00 inf 1.558595012981097483e+00 6.580691822991475703e-01 1.298988208596760785e-01 1.674492817272899003e-01 7.418752208090850786e-02 8.861177530070207808e-02 2.547306891498354986e+00 7.940350419912043378e-01 3.082008061515448816e+00 2.252954515235346733e+00
5.638276553106212674e+00 inf 1.560670576526533182e+00 6.608325229063929385e-01 1.283139773773527281e-01 1.696762380645147061e-01 7.390755381926794598e-02 8.891770778911833872e-02 2.546307206171405824e+00 7.938792876552618338e-01 3.081579353058085502e+00 2.254275444360846592e+00
5.641282565130260274e+00 inf 1.546919586297349269e+00 6.749076618394695970e-01 1.267591777771315265e-01 1.718568796047570402e-01 7.364874459371506532e-02 8.928768205154824500e-02 2.546608946059961909e+00 7.938223862020876709e-01 3.080534074425408164e+00 2.254935923057860947e+00
5.644288577154308761e+00 inf 1.565406786603443123e+00 6.658264653672496536e-01 1.252050749134419050e-01 1.740224987549296998e-01 7.339205543917870500e-02 8.966210350151015973e-02 2.548346474212959123e+00 7.923624328603118272e-01 3.079501963703448197e+00 2.255549260760599140e+00
5.647294589178356361e+00 inf 1.564092220050682158e+00 6.686351145024183040e-01 1.236651866497062713e-01 1.761829136175698807e-01 7.313227206202910224e-02 9.003104274394502227e-02 2.551412939445622641e+00 7.895975049839627502e-01 3.078480465654298115e+00 2.256128956965653742e+00
5.650300601202404849e+00 inf 1.552846611146708966e+00 6.829297198691719473e-01 1.221432670003217424e-01 1.783187267752310845e-01 7.286431810396010178e-02 9.038201246606547556e-02 2.552559950485459694e+00 7.883383898877234230e-01 3.077434769204248965e+00 2.257070602298927753e+00
5.653306613226453337e+00 inf 1.560590061057844480e+00 6.854876343333522470e-01 1.206006035020514844e-01 1.804484427545673952e-01 7.258255104915534162e-02 9.078323553100986487e-02 2.551991553662283252e+00 7.889471203446305481e-01 3.076763439599229599e+00 2.257564966526185657e+00
5.656312625250500936e+00 inf 1.569290913508865515e+00 6.764829718115912272e-01 1.190715645714277571e-01 1.825327888969781043e-01 7.232761065240822518e-02 9.116926496274402325e-02 2.550238226789325324e+00 7.910026090607189531e-01 3.075756518370518222e+00 2.258115825779041685e+00
5.659318637274549424e+00 inf 1.559910091384153930e+00 6.909297161217402561e-01 1.175282173332981017e-01 1.846658406406298525e-01 7.202410151954552475e-02 9.154284766534459550e-02 2.548966136182436060e+00 7.924068043388565741e-01 3.074817933505451961e+00 2.258744671322167719e+00
5.662324649298597024e+00 inf 1.560699252004958737e+00 6.936966278908371919e-01 1.159904591912628291e-01 1.867124513827391752e-01 7.177150860626824169e-02 9.194234218159280658e-02 2.549087726558060041e+00 7.925082844982220820e-01 3.073765300393926481e+00 2.259388162767894670e+00
5.665330661322645511e+00 inf 1.552992397659469503e+00 7.080985242774495703e-01 1.144536859452820465e-01 1.887704998891379660e-01 7.146938494139831732e-02 9.230980099194496802e-02 2.549836280948902356e+00 7.909856024878507696e-01 3.072937983285793706e+00 2.260668344827497123e+00
