_RAJ2000,_DEJ2000,Type,WISEP,OName,p,SpType,l_W1mag,W1mag,e_W1mag,W2mag,e_W2mag,l_W3mag,W3mag,e_W3mag,l_Jmag,Jmag,l_Hmag,Hmag,l_Ksmag,Ksmag,WISE,2M,Simbad,_RA,_DE
269.52275,46.5548611,T,J175805.46+463317.5,SDSS J175805.46+463311.9,,T6.5,,15.662,0.041,13.79,0.031,,12.543,0.282,,16.152,,16.254,,15.465,WISE,2M,Simbad,269.52275,46.55486
277.149875,-48.8175,T,J182835.97-484903.0,2MASS J18283572-4849046,,T5.5,,14.518,0.043,12.71,0.029,,11.455,0.181,,15.175,,14.908,,15.181,WISE,2M,Simbad,277.14987,-48.8175
285.27575,47.3051111,T,J190106.18+471818.4,2MASS J19010601+4718136,,T5,,15.301,0.042,13.579,0.032,,12.462,0.258,,15.856,,15.468,,15.641,WISE,2M,Simbad,285.27575,47.30511
313.1477083,-16.1579722,T,J205235.45-160928.7,SDSS J205235.31-160929.8,,T1:,,14.22,0.032,13.547,0.041,>,12.366,,,16.334,,15.414,,15.123,WISE,2M,Simbad,313.14771,-16.15797
321.0583333,1.0007222,T,J212414.00+010002.6,SDSS J212413.89+010000.3,,T5,,15.607,0.05,14.142,0.049,>,12.493,,,16.031,,16.183,>,16.144,WISE,2M,Simbad,321.05833,1.00072
324.862875,2.3399167,T,J213927.09+022023.7,2MASS J21392676+0220226,,T1.5,,12.746,0.026,11.936,0.025,,10.49,0.08,,15.264,,14.165,,13.582,WISE,2M,Simbad,324.86287,2.33992
326.119875,14.7683889,T,J214428.77+144606.2,HN Peg B,p,T2.5,,13.291,0.029,12.574,0.029,,11.67,0.179,,15.86,,15.4,,15.12,WISE,2M,Simbad,326.11987,14.76839
327.9119167,-48.8989444,T,J215138.86-485356.2,2MASS J21513839-4853542,,T4,,14.945,0.041,13.63,0.041,,12.203,0.338,,15.73,,15.168,,15.431,WISE,2M,Simbad,327.91192,-48.89894
328.63725,59.7038056,T,J215432.94+594213.7,2MASS J21543318+5942187,,T5,,15.732,0.074,13.599,0.035,>,13.013,,,15.661,,15.765,>,15.338,WISE,2M,Simbad,328.63725,59.70381
331.06525,-56.7898611,T,J220415.66-564723.5,eps Indi Bab,,T2.5,,10.633,0.022,9.443,0.02,,8.347,0.022,,12.29,,11.51,,11.35,WISE,2M,Simbad,331.06525,-56.78986
