_RAJ2000,_DEJ2000,recno,PSO,zP1mag,yP1mag,WISE,W1mag,W2mag,l_W3mag,W3mag,Nobs,Mm,SpT,AName,f_AName,l_Jmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,Jmag2,f_Jmag2,Hmag2,f_Hmag2,Kmag2,f_Kmag2,Ref,2M,_RA,_DE
108.4589167,38.2085,38,J108.4590+38.2086,20.15,19.08,J071350.14+381230.6,13.98,13.51,>,12.69,1,0,*,J108.4+38,,,16.92,,15.72,,14.92,16.68,,15.66,,14.84,,1,2M,108.45892,38.2085
109.4862917,46.5278611,39,J109.4864+46.5278,20.65,19.2,J071756.71+463140.3,15.4,14.77,>,12.54,1,0,*,J109.4+46,,,,,,,,17.06,,16.45,,15.86,,1,2M,109.48629,46.52786
115.065875,59.0472778,40,J115.0659+59.0473,19.62,18.67,J074015.81+590250.2,15.31,14.9,>,12.78,1,0,*,J115.0+59,,,16.51,,15.88,>,16.32,16.76,,16.13,,15.56,,1,2M,115.06587,59.04728
117.16075,17.7258333,41,J117.1608+17.7259,19.38,18.43,J074838.58+174333.0,13.74,13.32,>,12.55,1,0,*,J117.1+17,,,16.27,,15.18,,14.42,16.16,,15.26,,14.5,,1,2M,117.16075,17.72583
127.4697083,10.5778889,42,J127.4696+10.5777,20.23,19.42,J082952.73+103440.4,14.35,13.7,,11.27,1,0,*,J127.4+10,,,,,,,,17.07,,16.11,,15.25,,1,2M,127.46971,10.57789
133.801625,-2.5657778,43,J133.8016-02.5658,19.53,18.34,J085512.39-023356.8,14.17,13.57,>,12.69,1,0,*,J133.8-02,,,16.1,,15.31,,14.96,16.0,,15.29,,14.77,e,1,2M,133.80162,-2.56578
133.8300833,6.016,44,J133.8302+06.0160,19.11,18.34,J085519.22+060057.6,14.77,14.24,>,11.87,2,0,*,J133.8+06,,,16.31,,15.43,,15.03,16.34,,15.68,e,15.19,e,2,2M,133.83008,6.016
135.0395417,32.0845,45,J135.0395+32.0845,18.78,17.76,J090009.49+320504.2,13.96,13.44,>,11.97,2,0,*,J135.0+32,,,15.84,,15.1,,14.5,15.76,,15.03,,14.41,,1,2M,135.03954,32.0845
135.7840417,16.9931667,46,J135.7840+16.9932,19.87,18.73,J090308.17+165935.4,14.53,13.99,>,12.35,1,0,*,J135.7+16,,,16.49,,15.78,,15.49,16.4,,15.8,,15.26,,1,2M,135.78404,16.99317
136.3400833,10.1151944,47,J136.3401+10.1151,20.53,19.3,J090521.62+100654.7,15.19,14.32,>,12.4,1,0,*,J136.3+10,,,,,,,,17.08,,16.39,,16.07,,2,2M,136.34008,10.11519
136.549375,-6.1944167,48,J136.5494-06.1944,17.89,16.82,J090611.85-061139.9,13.25,12.82,,12.21,1,0,*,J136.5-06,,,14.83,,14.13,,13.66,14.75,,14.19,,13.7,,1,2M,136.54937,-6.19442
140.2308333,45.6489722,49,J140.2308+45.6487,18.49,17.24,J092055.40+453856.3,13.06,12.39,,11.28,1,0,*,J140.2+45,,,15.22,,14.16,,13.73,15.04,,14.19,,13.77,,1,2M,140.23083,45.64897
143.67725,-29.8354722,50,J143.6774-29.8356,19.33,18.38,J093442.54-295007.7,14.95,14.47,,12.57,1,0,*,J143.6-29,,,16.41,,16.05,,15.21,16.47,,15.87,,15.33,,1,2M,143.67725,-29.83547
146.0144167,5.132,51,J146.0144+05.1319,19.67,18.75,J094403.46+050755.2,15.07,14.57,>,12.63,1,0,*,J146.0+05,,,16.81,,15.98,,15.63,16.74,,16.11,,15.55,,2,2M,146.01442,5.132
147.509125,-27.6336944,52,J147.5092-27.6337,19.98,18.91,J095002.19-273801.3,15.48,15.03,>,12.63,1,0,*,J147.5-27,,,16.89,,16.22,,15.46,16.84,d,16.29,d,15.43,d,1,2M,147.50912,-27.63369
149.0340417,-14.7856111,53,J149.0341-14.7857,19.51,18.36,J095608.17-144708.2,13.52,12.77,,11.14,1,0,*,J149.0-14,,,16.28,,15.06,,14.22,15.99,,15.07,,14.46,,1,2M,149.03404,-14.78561
149.190625,-19.1728611,54,J149.1907-19.1730,18.48,17.37,J095645.75-191022.3,13.31,12.91,,11.87,1,0,*,J149.1-19,,,15.21,,14.32,,13.85,15.13,,14.43,,13.9,,1,2M,149.19062,-19.17286
152.2977917,15.9912222,55,J152.2977+15.9912,19.59,18.61,J100911.47+155928.4,15.05,14.6,>,12.1,1,0,*,J152.2+15,,,16.89,,15.58,,15.45,16.68,,16.14,,15.53,e,1,2M,152.29779,15.99122
158.1596667,5.2231111,56,J158.1597+05.2231,19.61,18.75,J103238.32+051323.2,14.85,14.45,>,12.32,2,0,*,J158.1+05,,,,,,,,16.62,,15.95,,15.35,,2,2M,158.15967,5.22311
159.04325,-27.6356389,57,J159.0433-27.6357,18.99,18.04,J103610.38-273808.3,14.46,14.02,,12.52,1,0,*,J159.0-27,,,15.92,,15.31,,14.62,16.02,,15.36,,14.72,e,1,2M,159.04325,-27.63564
159.2399583,-26.3886111,58,J159.2399-26.3885,20.44,19.04,J103657.59-262319.0,14.69,13.98,>,12.88,1,0,*,J159.2-26,,,16.81,,16.01,,15.3,16.71,,16.03,,15.51,,1,2M,159.23996,-26.38861
160.0416667,-21.3280278,59,J160.0416-21.3281,20.35,19.03,J104010.00-211940.9,15.05,14.18,>,12.63,1,0,*,J160.0-21,,,16.58,,16.06,,15.47,16.49,,16.01,,15.55,e,1,2M,160.04167,-21.32803
167.11325,8.6331944,60,J167.1132+08.6331,19.74,18.74,J110827.18+083759.5,14.13,13.66,>,12.62,1,0,*,J167.1+08,,,16.58,,15.5,,15.03,16.56,,15.65,,14.99,,2,2M,167.11325,8.63319
168.1802083,-27.2266944,61,J168.1800-27.2264,,19.16,J111243.25-271336.1,15.76,14.92,,12.57,1,0,*,J168.1-27,,,,,,,,17.14,,16.75,,16.71,,3,2M,168.18021,-27.22669
174.6630833,-18.653,62,J174.6630-18.6530,19.04,18.2,J113839.14-183910.8,14.86,14.4,>,12.48,1,0,*,J174.6-18,,,16.35,,15.63,,15.18,16.29,,15.67,,15.13,e,1,2M,174.66308,-18.653
175.2002083,16.1403056,63,J175.2003+16.1403,20.41,18.94,J114048.05+160825.1,14.63,14.22,>,12.29,1,0,*,J175.2+16,,,16.86,,16.14,,15.23,16.82,,15.95,,15.24,,2,2M,175.20021,16.14031
175.8168333,-20.4071389,64,J175.8169-20.4072,20.52,19.23,J114316.04-202425.7,15.67,14.42,,12.2,1,0,*,J175.8-20,,,,,,,,16.74,,16.3,,15.99,e,1,2M,175.81683,-20.40714
180.1475417,-28.616,65,J180.1475-28.6160,19.73,18.21,J120035.41-283657.6,14.24,13.56,>,12.4,1,0,*,J180.1-28,,,15.98,,15.07,,14.68,15.96,,15.15,,14.75,e,1,2M,180.14754,-28.616
182.6569167,-26.6196111,66,J182.6569-26.6197,19.62,18.66,J121037.66-263710.6,14.93,14.44,>,12.3,1,0,*,J182.6-26,,,16.48,,15.73,,15.2,16.72,,16.11,,15.28,e,1,2M,182.65692,-26.61961
183.45475,40.7901667,67,J183.4547+40.7901,21.17,19.79,J121349.14+404724.6,16.72,15.02,,12.56,1,0,*,J183.4+40,,,,,,,,17.05,,16.86,,16.76,e,1,2M,183.45475,40.79017
183.93175,-9.7914167,68,J183.9318-09.7914,19.45,18.51,J121543.62-094729.1,14.45,14.04,>,12.6,1,0,*,J183.9-09,,,16.33,,15.45,,14.85,16.31,,15.57,,14.95,e,3,2M,183.93175,-9.79142
186.5341667,21.8363333,69,J186.5342+21.8364,19.71,18.94,J122608.20+215010.8,15.57,15.05,,12.76,1,0,*,J186.5+21,,,17.07,,16.41,,15.39,16.92,,16.33,,15.79,,2,2M,186.53417,21.83633
