# Name,redshift,ra,dec,OBJ_TYPE
PSO~J060.5529+24.8567,6.18,60.55290222,24.85678482,HIGH_Z_QUASAR
VDESJ0408--5632,6.03,62.08012,-56.54134,HIGH_Z_QUASAR
VDESJ0410--4414,6.21,62.51345,-44.24464,HIGH_Z_QUASAR
PSO062.53771-01.65552,7,62.53771229,-1.655520944,HIGH_Z_QUASAR
PSOJ062.8692--09.1304,6.826,62.8692833,-9.1304734,HIGH_Z_QUASAR
VDESJ0420--4453,6.07,65.04727,-44.88993,HIGH_Z_QUASAR
PSO~J065.4085--26.9543,6.1871,65.408537,-26.95433511,HIGH_Z_QUASAR
PSO~J065.5041--19.4579,6.1247,65.50414653,-19.45796853,HIGH_Z_QUASAR
PSO~J065.9589+01.7235,5.84,65.95895377,1.723553056,HIGH_Z_QUASAR
PSOJ067.6819--14.7614,6.718,67.6819,-14.76144809,HIGH_Z_QUASAR
J0439+1634,6.5188,69.94618756,16.57104691,HIGH_Z_QUASAR
PSO~J071.0322--04.5591,5.89,71.03221434,-4.559186822,HIGH_Z_QUASAR
PSO~J071.4507--02.3332,5.69,71.45075,-2.33329,HIGH_Z_QUASAR
VDESJ0454--4448,6.0581,73.50744,-44.80864,HIGH_Z_QUASAR
PSO~J075.9356--07.5061,5.88,75.93566,-7.50613,HIGH_Z_QUASAR
J0525--2406,6.5397,81.49864583,-24.10638333,HIGH_Z_QUASAR
PSOJ083.8370+11.8482,6.3401,83.83706551,11.84823453,HIGH_Z_QUASAR
PSO~J089.9394--15.5833,6.05,89.93944458,-15.5833895,HIGH_Z_QUASAR
J061624.38-133806.40,5.58,94.10157442,-13.63510991,HIGH_Z_QUASAR
DELS~J070626.39+292105.5,6.6037,106.6099583,29.35152778,HIGH_Z_QUASAR
PSO~J108.4429+08.9257,5.92,108.4429416,8.925736919,HIGH_Z_QUASAR
PSO~J119.0932+02.3056,5.74,119.093203,2.305602441,HIGH_Z_QUASAR
J075745.90-000201.09,5.54,119.4412322,-0.03363676,HIGH_Z_QUASAR
DELS~J0803+3138,6.377,120.7726234,31.6428314,HIGH_Z_QUASAR
SDSS~J0810+5105,5.82,122.7263167,51.09445833,HIGH_Z_QUASAR
SDSS~J0818+1722,6.02,124.61416,17.381055,HIGH_Z_QUASAR
ULAS~J0828+2633,6.05,127.0559,26.565437,HIGH_Z_QUASAR
PSO~J127.2817+03.0657,5.85,127.2817403,3.065710055,HIGH_Z_QUASAR
DELS~J0829+4117,6.768,127.3832083,41.29455556,HIGH_Z_QUASAR
HSC~J0834+0211,6.15,128.5036667,2.196361111,HIGH_Z_QUASAR
SDSS~J0835+3217,5.89,128.857325,32.29795,HIGH_Z_QUASAR
SDSS~J0836+0054,5.81,129.1827,0.9148055,HIGH_Z_QUASAR
DELS~J0837+4929,6.645,129.407625,49.4835,HIGH_Z_QUASAR
DELS~J0839+3900,6.905,129.945333,39.00317778,HIGH_Z_QUASAR
VIK~J0839+0015,5.84,129.98065,0.2650583,HIGH_Z_QUASAR
SDSS~J0840+5624,5.8441,130.1462,56.405527,HIGH_Z_QUASAR
SDSS~J0841+2905,5.954,130.33133,29.08456,HIGH_Z_QUASAR
SDSS~J0842+1218,6.0763,130.622625,12.31402778,HIGH_Z_QUASAR
DELS~J084303.76+291113.4,6.15,130.7656667,29.18705556,HIGH_Z_QUASAR
HSC~J0844--0132,6.18,131.035875,-1.537916667,HIGH_Z_QUASAR
HSC~J0844--0052,6.25,131.1316667,-0.881833333,HIGH_Z_QUASAR
J0844+0226,6.4,131.2359167,2.444583333,HIGH_Z_QUASAR
SDSS~J0850+3246,5.87,132.7010417,32.77997222,HIGH_Z_QUASAR
HSC~J0853+0139,6.01,133.4535,1.653055556,HIGH_Z_QUASAR
HSC~J0857+0056,6.35,134.4105417,0.936861111,HIGH_Z_QUASAR
HSC~J0858+0000,5.99,134.5562917,0.015861111,HIGH_Z_QUASAR
HSC~J0859+0022,6.3903,134.7799583,0.382194444,HIGH_Z_QUASAR
PSO~J135.3860+16.2518,5.63,135.38604,16.2518994,HIGH_Z_QUASAR
HSC~J0902+0155,6.01,135.728625,1.919694444,HIGH_Z_QUASAR
HSC~J0903+0211,5.92,135.8111667,2.191194444,HIGH_Z_QUASAR
PSO~J135.8704--13.8336,5.91,135.8704568,-13.83368626,HIGH_Z_QUASAR
HSC~J0905+0300,6.27,136.4360417,3.016333333,HIGH_Z_QUASAR
HSC~J0909+0440,6.15,137.3395833,4.678583333,HIGH_Z_QUASAR
DELS~J0910+1656,6.7289,137.5568792,16.94171667,HIGH_Z_QUASAR
DELS~J0910--0414,6.6363,137.7272083,-4.23522222,HIGH_Z_QUASAR
HSC~J0911+0152,6.07,137.8094583,1.872055556,HIGH_Z_QUASAR
DELS~J091828.65+194045.0,5.92,139.619375,19.67916667,HIGH_Z_QUASAR
HSC~J0918+0139,6.19,139.6382083,1.656472222,HIGH_Z_QUASAR
HSC~J0921+0007,6.5646,140.3356667,0.123027778,HIGH_Z_QUASAR
HSC~J0923+0402,6.633,140.9463333,4.048444444,HIGH_Z_QUASAR
J0923+0753,6.6817,140.9958208,7.896974167,HIGH_Z_QUASAR
SDSS~J0927+2001,5.7722,141.84091,20.023249,HIGH_Z_QUASAR
PSO~J142.3990--11.3604,5.65,142.3990254,-11.3604471,HIGH_Z_QUASAR
J0930+0057,5.92,142.5035417,0.960666667,HIGH_Z_QUASAR
