Table 1 
Pan-STARRS1 and WISE All-sky Photometry


Pan-STARRS1 Name	${z}_{{\rm{P}}1}$	${y}_{{\rm{P}}1}$	WISE Name	W1	W2	W3	
PSO J303.7105+31.9331	20.12 +or- 0.08	19.68 +or- 0.12	J201450.36+315600.2	13.49 +or- 0.03	11.41 +or- 0.02	10.46 +or- 0.24	
PSO J304.7573-07.2350	19.59 +or- 0.03	18.70 +or- 0.04	J201901.74-071405.3	15.40 +or- 0.05	14.81 +or- 0.09	>12.54	
PSO J307.6784+07.8263	17.99 +or- 0.01	16.46 +or- 0.01	J203042.79+074934.7	12.96 +or- 0.03	12.12 +or- 0.03	10.96 +or- 0.11	
PSO J308.9834-09.7312	20.94 +or- 0.10	19.76 +or- 0.13	J203556.02-094352.3	15.94 +or- 0.08	14.82 +or- 0.09	>12.35	
PSO J310.9853+62.3470	19.29 +or- 0.04	17.92 +or- 0.02	J204356.42+622048.9	13.90 +or- 0.03	13.02 +or- 0.03	12.12 +or- 0.22	
PSO J313.1577-26.0050	20.36 +or- 0.05	19.18 +or- 0.05	J205237.87-260018.0	15.61 +or- 0.06	14.98 +or- 0.11	12.60 +or- 0.53	
PSO J316.5156+04.1173	20.13 +or- 0.06	19.14 +or- 0.05	J210603.72+040702.4	14.87 +or- 0.04	14.45 +or- 0.07	>12.01	
PSO J319.3102-29.6682	18.90 +or- 0.02	17.66 +or- 0.02	J211714.44-294005.2	13.56 +or- 0.03	12.82 +or- 0.03	11.94 +or- 0.32	
PSO J321.1619+18.8243	20.50 +or- 0.05	19.41 +or- 0.07	J212438.82+184927.5	14.73 +or- 0.04	14.04 +or- 0.05	12.45 +or- 0.37	
PSO J329.8288+03.0840	20.52 +or- 0.20	19.25 +or- 0.10	J215918.90+030502.8	14.89 +or- 0.04	14.29 +or- 0.06	>12.56	
PSO J330.3214+32.3686	19.90 +or- 0.03	18.63 +or- 0.04	J220117.10+322206.9	14.71 +or- 0.03	13.63 +or- 0.04	12.29 +or- 0.29	
