COADD_OBJECT_ID,ra_des,dec_des,g_mag,g_magerr,r_mag,r_magerr,i_mag,i_magerr,z_mag,z_magerr,Y_mag,Y_magerr,J_mag,J_magerr,K_mag,K_magerr,W1_mag,W1_magerr,W2_mag,W2_magerr,g_flux,g_fluxerr,r_flux,r_fluxerr,i_flux,i_fluxerr,z_flux,z_fluxerr,Y_flux,Y_fluxerr,J_flux,J_fluxerr,K_flux,K_fluxerr,W1_flux,W1_fluxerr,W2_flux,W2_fluxerr
895032643,308.067202,-48.278536,99.0,99.0,24.08239174,0.08740165,21.1635685,0.0102649,19.95217514,0.00625314,19.68739319,0.01635257,18.7835,0.0517,18.7639,0.1155,20.039,0.151,20.067999999999998,0.33,0.0,0.14358902769679205,0.8453631330838283,0.06805164307582047,12.432904564520728,0.11754468673426931,37.94284956976551,0.21852633201223912,48.42200006962303,0.7292969896448381,111.32687028838477,5.301102762057818,113.35482218127264,12.05862151833982,35.02676269138125,4.871386938392473,34.10358226533506,10.365484818725076
1044161967,1.764455,-0.746718,25.19364357,0.15521127,23.19759369,0.03769559,20.99845505,0.00907587,19.93735695,0.00631604,19.8060112,0.01619946,19.0283,0.0905,19.027,0.1116,19.564999999999998,0.118,19.546999999999997,0.243,0.3037683848293555,0.043425167723605815,1.9096884612324374,0.06630232366469295,14.474980255386845,0.12099904053556351,38.46424568580902,0.22375758794514689,43.41057316313177,0.6476967797991826,88.8546171582335,7.406350472223139,88.96107044092297,9.14407700295735,54.2000890401626,5.890574965365499,55.1061411139068,12.333375484759147
880030560,311.455831,-54.286272,25.21857452,0.15196499,23.23098946,0.03423208,21.06141663,0.00817203,19.95221901,0.00617484,19.79488182,0.02453397,19.1057,0.054,19.105199999999996,0.1355,19.947000000000003,0.145,19.979999999999997,0.311,0.2968726519333907,0.04155175942795546,1.8518432206870454,0.05838659980224071,13.659454253611708,0.10281085723673496,37.941316490943045,0.21578128986969342,43.85784334756903,0.991039083193934,82.74085417107023,4.115185719751451,82.77896651756821,10.330824295970874,38.124135110429826,5.091475780936864,36.98281797802674,10.5934170204157
1161663088,20.367251,-64.404867,25.02287483,0.13969932,23.29027939,0.03397334,21.02544594,0.00860371,19.95656204,0.00653886,19.7280941,0.01851583,19.079,0.0625,18.937199999999997,0.1734,19.719,0.092,19.849999999999998,0.194,0.35550856473677334,0.045742515106574136,1.7534292378706096,0.054865857289330716,14.119574979705051,0.11188788576475675,37.789851386421525,0.22758985705156942,46.64041005337535,0.7953920113320442,84.80080988896916,4.881527018104061,96.63178455932828,15.432801604253642,47.03270964407774,3.985322832832202,41.68693834703364,7.44864729009026
1436646114,60.614116,-28.106509,99.0,99.0,24.19565964,0.07124607,21.31308556,0.0090954,19.95837975,0.00512074,19.56151962,0.01125609,18.5718,0.0478,18.572699999999998,0.1135,19.198,0.064,19.142,0.116,0.0,0.14358902769679205,0.7616161488629661,0.04997729394785111,10.833424874199796,0.0907534741578848,37.7266375760647,0.17793300182367436,54.37410881656151,0.5637095454925486,135.29445576579005,5.956396182851285,135.18235251619438,14.131606686180351,75.99762143610384,4.479769349677503,80.02026771193343,8.549361266489328
1293167197,38.739795,-2.351505,25.62486267,0.23877329,23.66530609,0.05521964,21.17899704,0.00929444,20.06074142,0.00700315,19.83919334,0.02069661,18.8321,0.057,18.7992,0.1368,19.847,0.119,19.982,0.281,0.204199621146052,0.04490723911031238,1.241302311170216,0.06313160273517542,12.25747973753842,0.10493010131972716,34.33234215191143,0.22144839684582532,42.103932814166015,0.8025970517535804,106.4535135226595,5.588696632017841,109.72864088549433,13.82552963358131,41.802282895403245,4.581657720128393,36.91475581654134,9.553928789506406
929079551,324.890524,-64.508906,99.0,99.0,24.309515,0.08999468,21.66973114,0.01693833,20.0636425,0.0063379,19.71522141,0.01809824,18.3477,0.0276,17.937800000000003,0.0616,18.331,0.048,18.426,0.081,0.0,0.14358902769679205,0.6857945034792753,0.05684424689524395,7.800232431500824,0.12168969812597942,34.24072880906069,0.1998775707836787,47.19667850817432,0.78672592025617,166.3106266656241,4.227705842225076,242.59396905587096,13.763737847510292,168.888469479092,7.466497386261833,154.73907628208832,11.544116447366084
920577111,322.0209,-52.355395,25.62179375,0.2398726,23.57270241,0.05214687,21.16416359,0.00977092,20.06409264,0.00711214,19.94408417,0.0182478,19.1098,0.0596,19.345599999999997,0.2168,19.954,0.126,19.759,0.227,0.2047776241667359,0.045241690306938226,1.3518205245333645,0.06492664502412629,12.426091979742585,0.11182674954986327,34.22653574177219,0.22420171017942192,38.22665807988062,0.6424695135458249,82.42899408473066,4.524826588558286,66.33763737573933,13.246311323167287,37.87913037851569,4.395884015635465,45.33149061464125,9.477668999548497
1088455724,9.828917,-0.354299,25.52818871,0.23996624,23.37153816,0.04494655,21.07935524,0.00874955,20.06450653,0.00629112,19.83654404,0.01905192,19.0262,0.0713,19.0908,0.1112,19.506999999999998,0.105,19.634,0.235,0.22321558606093342,0.04933445588504728,1.6269894469269248,0.0673529741435343,13.435625934244115,0.10827278336836302,34.21349084093198,0.198244449762227,42.206795876904174,0.7406223491296791,89.02664353506627,5.846355363515105,83.88416773645226,8.591331311800069,57.174187291755466,5.52923411720592,50.86276903064371,11.008890253285784
1000315872,348.738599,0.837833,25.19860649,0.16306856,23.29668999,0.04836394,21.07120323,0.01035375,20.06673813,0.00719049,20.01596642,0.02931715,19.1906,0.0723,19.279000000000003,0.1518,19.857,0.141,19.823,0.299,0.3023830226704043,0.045415418459122704,1.743106827654764,0.07764640587357564,13.53688401928524,0.12908983996338003,34.14324135068422,0.22611996765307565,35.77778352334341,0.9660750388765494,76.51736394720069,5.095349486494304,70.53424142580951,9.861601558016675,41.41903726221012,5.378916378009727,42.73660314969311,11.769197974387213
