t1_coadd_object_id,t1_ra,t1_dec,t1_mag_aper_4_g,t1_mag_aper_4_r,t1_mag_aper_4_i,t1_mag_aper_4_z,t1_mag_aper_4_y,t1_magerr_aper_4_g,t1_magerr_aper_4_r,t1_magerr_aper_4_i,t1_magerr_aper_4_z,t1_magerr_aper_4_y,fluxlbs_w1,fluxlbs_w2,dfluxlbs_w1,dfluxlbs_w2,mag_w1_vg,mag_w2_vg,mag_w1_ab,mag_w2_ab,dmag_w1,dmag_w2
1596506685,90.105104,-43.820624,23.35929871,22.15134621,21.53933716,19.98185921,21.06836891,0.03277893,0.01329891,0.01389271,0.00652787,0.05753067,266.15048,526.93384,5.419987,19.793886,16.459547,15.730656,19.158547,19.069656,0.02211033440637943,0.040784889926703274
1321929507,40.163054,1.969625,26.41546631,24.04571915,21.34775734,19.98563004,19.75395966,0.494504,0.07567693,0.01183344,0.00738253,0.01704939,244.13823,476.07974,7.976614,31.24113,16.513609,15.787741,19.212609,19.126741,0.035473750306048185,0.07124778281586891
1456113448,49.345473,-48.187346,25.1213913,23.44573784,21.07665634,20.02115059,19.71266747,0.13445778,0.03963756,0.00820362,0.00579366,0.01403915,244.56241,400.45413,5.831963,21.400675,16.524418,15.971588,19.223418000000002,19.310588,0.025891032779362274,0.05802284434864533
1232286390,30.798599,-2.252015,25.34775925,23.61354065,21.01877785,19.8000412,19.39252472,0.1902691,0.05512348,0.00891342,0.00563996,0.01149646,284.02274,478.76782,8.06606,30.790438,16.349188,15.779999,19.048188000000003,19.118999,0.030834197894687446,0.06982568982384928
1569924987,84.57451,-32.242147,27.87220383,22.84565353,20.94084167,19.9336586,20.02833939,2.36177993,0.02694463,0.0093692,0.0064082,0.02537814,302.02158,520.9368,6.772174,25.135983,16.304123,15.701553,19.003123000000002,19.040553,0.02434526200651517,0.052388402557248526
1174865650,22.628253,-59.767545,24.99165344,23.01644897,20.9895916,19.93376541,19.76110649,0.15249798,0.03145862,0.00938568,0.00713145,0.01992737,238.3722,404.41956,6.320484,23.300713,16.575699,15.976912,19.274699,19.315912,0.028788500967791054,0.06255490634720638
1194865509,26.217321,-6.635601,25.53993034,23.91856003,21.17717171,19.95330238,19.52503204,0.23082013,0.07061057,0.01046791,0.00633562,0.01429518,246.08604,415.7056,8.194052,31.734213,16.49823,15.938998,19.197229999999998,19.277998,0.03615231046860993,0.08288313648795229
1021903496,356.732353,-63.353331,25.4487896,23.48646164,20.94612312,19.83497047,19.55457687,0.17743799,0.04049709,0.0070189,0.00486568,0.01383882,239.65,417.2947,6.799211,25.206877,16.590393,15.957093,19.289392999999997,19.296093,0.030803878766908935,0.06558439148109235
1249516979,33.249522,-19.322978,27.08878136,23.96668243,21.23233604,19.84095764,19.44981384,0.91887975,0.06594354,0.00950173,0.00509592,0.01270398,230.43951,467.46204,7.706624,29.71694,16.606224,15.824191,19.305224000000003,19.163191,0.03631044300197442,0.06902112875865825
967182162,338.436573,1.883716,25.39999199,23.29620361,20.95394325,19.84429932,19.84984207,0.27817002,0.0602269,0.01167318,0.00636927,0.0215536,272.8881,427.96786,8.322648,31.477285,16.411667,15.892165,19.110667,19.231165,0.033113207402806634,0.0798565293010321
1038472325,1.303158,-55.831075,25.02132988,23.35317421,20.95377541,19.85946465,19.71449089,0.14612579,0.0469576,0.00900625,0.0068241,0.02023832,249.63304,403.01303,6.693711,25.36701,16.504822,15.996964,19.203822000000002,19.335964,0.029113150955048836,0.06833992728091576
1228745162,29.99159,-36.565741,27.53241348,24.03155708,21.85709763,19.87908173,20.03457069,1.41669464,0.07489354,0.0173088,0.00543188,0.02054872,226.2918,429.1304,7.026007,27.101074,16.607748,15.912762,19.306748,19.251762,0.03371041361102811,0.06856800923362508
981872980,343.774203,-59.495036,25.40568161,23.53541374,20.98069572,19.8640976,19.71313095,0.18373244,0.04773701,0.00785224,0.00567542,0.01940838,263.69406,419.9609,6.997744,26.098131,16.423876,15.875081,19.122875999999998,19.214081,0.02881257170688249,0.06747219968149533
1214763789,28.96856,-31.226389,25.56734848,24.01216125,21.3632431,20.01316261,19.62006569,0.29246351,0.0794857,0.01431818,0.00898023,0.02081113,271.4171,459.59085,7.385583,27.873537,16.431255,15.807397,19.130255,19.146397,0.029544177048336895,0.06584836986107383
1222681020,29.248904,-37.128736,25.37611008,23.55977058,20.92233467,19.76235771,19.46810341,0.18617663,0.05072877,0.00799033,0.00501116,0.01476741,279.06018,433.66412,6.898024,25.726294,16.398859,15.894138,19.097859,19.233138,0.026838061948109157,0.06440922253390904
1254603719,33.185906,0.899484,25.72295189,23.88244438,21.00614929,19.77051926,19.50401878,0.31589404,0.08626338,0.01011278,0.00555225,0.01296829,272.03812,507.59546,8.075281,31.223143,16.398342,15.712505,19.097341999999998,19.051505,0.03222939838466548,0.06678565797542863
1222404301,29.607793,-42.292767,26.38034058,24.27011108,21.63902092,20.13064194,19.74270821,0.45872733,0.08098315,0.01589204,0.00747993,0.01563684,324.47775,553.92676,6.660002,24.293373,16.253954,15.654798,18.952954,18.993797999999998,0.022285057435098562,0.04761675460812476
1068676812,6.826469,-29.100978,25.452425,23.668293,21.13423157,19.92889977,19.5996933,0.21382064,0.05066349,0.01046806,0.00601711,0.01420545,254.00827,403.56747,7.4337,29.465755,16.480055,15.961676,19.179054999999998,19.300676,0.031774702553229894,0.0792730816585214
908009685,317.273457,-48.503302,26.48948288,24.17471695,21.44960785,20.05030251,19.6603756,0.53516203,0.08653028,0.01610838,0.00783397,0.01985646,245.94727,405.5129,7.562669,28.25393,16.50422,15.971753,19.20322,19.310753,0.033385463225113085,0.07564818462668355
935971649,326.795531,-42.707936,24.0236702,22.41765022,20.97131348,19.90274811,19.72696304,0.04740732,0.01551806,0.00772087,0.00572077,0.01353836,11054.339,35575.21,19.099224,69.95976,12.390945,11.122262,15.089945,14.461262,0.0018758895470444125,0.0021351341090661054
1143604529,17.939811,-17.987308,22.50831604,21.64408875,21.28376389,20.0386467,21.09046364,0.0152063,0.00938439,0.01121816,0.0063703,0.05620869,294.29492,805.8185,7.987326,30.933525,16.311012,15.227098,19.010012000000003,18.566098,0.029467477785229637,0.04167892401736956
942026399,329.471623,-48.022233,23.91178513,22.87228775,20.89867592,19.89796066,19.7208786,0.05811096,0.02937052,0.00751615,0.00608542,0.01413618,228.93198,384.33862,7.869926,30.144135,16.613518,16.03397,19.312517999999997,19.37297,0.03732402780497215,0.08515558163428046
1283398929,37.394344,4.544319,25.25460434,23.25858688,21.01048088,19.90185356,19.55434036,0.25725433,0.04804074,0.00875234,0.00734111,0.01666186,237.02527,375.58664,7.918725,31.322771,16.559303,16.0371,19.258302999999998,19.376099999999997,0.03627312154532435,0.0905470612800498
1606068295,92.63678,-59.757237,28.63918304,23.08145714,20.94141769,19.90363312,19.97006226,4.19796276,0.02872391,0.00742594,0.00623445,0.01963038,349.39224,746.598,5.146677,18.3283,16.13572,15.300736,18.834719999999997,18.639736,0.01599329611068625,0.026653833631577403
947472286,330.454571,-44.233705,26.79555893,99.0,23.270998,19.91865921,19.2977829,0.73031449,99.0,0.0651447,0.00638114,0.01108196,615.48816,1074.2339,7.970888,29.15761,15.528739,14.916465,18.227739,18.255465,0.0140608418619655,0.029469813623660253
900717264,308.042282,-44.278348,25.29839516,23.33759689,20.98579788,19.92308807,19.70600891,0.17504063,0.03725574,0.0089851,0.00600303,0.01675172,281.3542,583.3029,8.094148,30.352673,16.381435,15.570236,19.080435,18.909236,0.03123503942813225,0.05649722637635531
1489214478,68.692071,-57.120032,24.83281517,23.05355072,20.8516922,19.79274178,19.53087234,0.1223988,0.03148828,0.00778575,0.00547266,0.01724803,272.03052,442.03583,5.161154,17.36889,16.42592,15.908867,19.124920000000003,19.247867,0.020599349499946695,0.04266177406809179
1489807367,68.802197,-53.990277,25.53567123,23.49368477,20.98526955,19.81163979,19.49926376,0.26696789,0.04031958,0.00811472,0.00537874,0.0146023,233.2952,403.06796,5.218112,18.121395,16.574627,15.993282,19.273626999999998,19.332282,0.02428465360145795,0.048813243881312085
873812834,302.282516,-58.880882,22.51528549,21.53265953,21.32785225,19.837677,21.23838615,0.01453358,0.00828731,0.01209519,0.00548886,0.07708617,352.91367,1161.8271,7.880755,30.268795,16.143108,14.828809,18.842108000000003,18.167809,0.024245082442764694,0.028286417665676633
1187090962,23.89823,-20.057295,25.17480469,23.35606956,20.92723465,19.8392849,19.51052475,0.14156777,0.03410359,0.00663298,0.0052168,0.01361541,211.41753,395.19263,7.883504,30.660934,16.694885,15.959599,19.393884999999997,19.298599,0.04048578995864503,0.08423660662775898
1250740809,32.800874,-25.564855,21.8600235,21.1879406,20.99020386,19.83041,20.96939278,0.00894678,0.00630757,0.00848194,0.00682237,0.06161825,259.94876,855.6393,7.167945,28.571564,16.456696,15.177461,19.155696,18.516461,0.02993858251224207,0.036254975036050824
1497205080,69.790712,-24.759558,24.59047699,22.89405441,20.83917236,19.83667374,19.61343575,0.09593935,0.02435306,0.00733488,0.00642432,0.01414598,215.39436,381.3657,7.324214,27.554012,16.679365,16.025229,19.378365000000002,19.364228999999998,0.03691909254818167,0.07844540926134667
1365286701,46.139284,-10.085389,25.0520916,23.49972343,21.0156002,19.9698143,19.59671593,0.19894631,0.05989502,0.01074633,0.00784998,0.0197607,257.98373,439.00476,7.532656,28.603348,16.458733,15.906733,19.157733,19.245732999999998,0.03170152372472696,0.07074112476797755
1148008833,18.1304,-54.86398,25.21440125,23.4398365,21.21317863,20.14813614,19.96605492,0.19411078,0.04391015,0.01060401,0.00730171,0.01981923,296.71658,638.89923,7.100056,24.99792,16.31698,15.471041,19.01598,18.810041,0.025980307049273035,0.042481107369071874
1348078732,43.626235,1.453617,25.87942886,24.31949806,21.35997963,20.16309166,19.83023071,0.31681365,0.09763304,0.01325952,0.00747056,0.01661028,237.73384,417.81125,7.88576,29.6756,16.565718,15.934681,19.264718000000002,19.273681,0.036014456898662256,0.07711585869916225
1584666733,87.866738,-56.060164,25.02254677,23.50661278,21.06575584,19.85794067,19.54911423,0.14930233,0.04706061,0.00872091,0.00524024,0.01257575,223.45425,534.7826,5.76489,19.579432,16.639383,15.677186,19.338383,19.016186,0.028010878242181986,0.039750915962860185
895383852,306.226982,-44.866667,26.28190994,24.04881668,21.16670609,19.86903954,19.62815285,0.46286306,0.08355422,0.01089926,0.00663032,0.01663548,274.5234,458.4273,7.773503,29.29876,16.390184,15.839845,19.089184000000003,19.178845,0.03074409556670191,0.06939099064675969
1577260971,85.40054,-58.348039,22.22543144,21.18620872,20.85365677,19.8195858,20.8474865,0.0107578,0.00570054,0.00702764,0.00485517,0.04294737,735.91986,3258.7163,6.506933,26.56396,15.33077,13.713508,18.02977,17.052508,0.00959997565500601,0.008850556617569552
1289229846,38.195625,-31.167225,25.97325325,23.77250862,21.14955139,19.82806969,19.40167046,0.31622821,0.0512426,0.00947258,0.00521479,0.01200004,309.7011,522.2476,7.736283,28.457016,16.275301,15.701869,18.974300999999997,19.040869,0.027121513431353127,0.05916123415518112
1377884534,48.598742,-39.727387,25.22016144,23.3786087,20.88937187,19.83711624,19.56871796,0.16475381,0.03996948,0.00726946,0.00580576,0.01462897,254.43613,433.38248,6.367133,23.387112,16.480036,15.919564,19.179035999999996,19.258564,0.027169988863650157,0.05859081849163194
1231700407,30.997233,-33.818673,27.2452755,23.98198509,21.28121376,20.06317329,19.84815788,1.21303093,0.09581349,0.01372003,0.0082175,0.02005086,294.6034,461.42514,7.379206,27.469461,16.32684,15.813018,19.025840000000002,19.152017999999998,0.027195446884076754,0.06463581141870912
1020977680,356.9425,-53.481788,25.36102676,23.88648605,21.26801109,20.07697296,19.87118721,0.19933888,0.06799483,0.01026463,0.00657595,0.01750577,245.59169,382.84686,6.735394,25.27041,16.53443,16.029747,19.23343,19.368747,0.029776500658921633,0.07166572829167747
1230211269,30.10876,-20.237709,25.89935303,24.20681953,21.40239716,20.07786751,19.67625999,0.31901538,0.09474765,0.01296432,0.00711701,0.02617917,245.80392,420.4546,7.554145,28.661465,16.522196,15.941895,19.221196,19.280895,0.03336728202907668,0.07401224824727322
1558226082,82.295727,-47.63727,25.39006805,23.94235229,21.25832367,19.85293388,19.47621155,0.18965806,0.068992,0.0099822,0.00567432,0.01652163,300.02408,527.3875,5.736555,19.7207,16.295855,15.688162,18.994855,19.027162,0.020759618541572634,0.04059913815396392
1467115806,64.367343,-23.151337,26.9577446,24.68896675,21.52406693,20.12209892,19.71723557,0.77938205,0.12880294,0.01295293,0.00658694,0.0168834,241.00803,414.39716,7.377706,27.515759,16.537642,15.922791,19.236642000000003,19.261791,0.03323641337702018,0.07209232743703974
1432502976,60.153803,-43.233358,22.79118919,22.05129814,21.17919731,20.15259552,19.66855812,0.01469874,0.01057228,0.00869453,0.00699409,0.01630759,259.60016,623.49835,5.914524,22.168053,16.455496,15.511486,19.154496,18.850486,0.024736551937066878,0.038602600521873184
1060882036,4.765209,-60.504444,24.80597115,23.28328133,21.07599068,20.06061363,19.81618309,0.11666024,0.0396192,0.01113854,0.00748103,0.0194251,250.68718,561.0324,6.511383,23.531206,16.511492,15.627726,19.210492000000002,18.966725999999998,0.0282010602462663,0.045538693123287934
