,RA,Dec,W1-W2
J145715.84-212207.5,224.31599999999997,-21.368750000000002,2.2129999999999996
J145829.35+101341.8,224.62229166666663,10.228277777777778,1.7549999999999994
J150319.70+252525.4,225.83208333333332,25.423722222222224,1.1299999999999994
J150411.81+102717.4,226.0492083333333,10.454833333333333,1.547000000000001
J151114.49+060740.9,227.810375,6.128027777777778,-0.11799999999999977
J151603.01+025927.6,229.01254166666666,2.991,-0.01700000000000068
J151642.98+305344.3,229.17908333333332,30.89563888888889,0.16299999999999903
J152040.02+354617.2,230.16674999999998,35.77144444444444,-0.08800000000000041
J152103.14+013144.1,230.2630833333333,1.5289166666666667,0.33499999999999963
J153417.03+161547.0,233.5709583333333,16.263055555555557,0.39100000000000057
J153449.98-295230.8,233.70825,-29.875222222222224,0.7370000000000007
J154614.83+493204.7,236.56179166666666,49.534638888888885,0.403000000000001
J154627.30-332508.0,236.61374999999998,-33.41888888888889,1.1640000000000001
J155301.94+153238.6,238.2580833333333,15.544055555555556,1.6210000000000009
J161504.36+134004.2,243.76816666666664,13.667833333333332,1.3280000000000016
J162414.09+002916.0,246.05870833333327,0.48777777777777775,1.3619999999999988
J162838.99+230818.1,247.16245833333326,23.13836111111111,1.5929999999999986
J163022.92+081819.8,247.5955,8.3055,1.162999999999999
J163239.30+415002.9,248.16375,41.834138888888894,0.1710000000000017
J175023.81+422239.0,267.5992083333333,42.3775,0.17700000000000016
J175033.07+175905.5,267.6377916666666,17.984861111111112,0.762000000000001
J175805.46+463317.5,269.52275,46.55486111111111,1.2320000000000015
J182835.97-484903.0,277.14987499999995,-48.8175,1.1679999999999997
J190106.18+471818.4,285.27574999999996,47.30511111111111,1.0819999999999994
J205235.45-160928.7,313.1477083333333,-16.15797222222222,0.03300000000000003
J212414.00+010002.6,321.0583333333333,1.0007222222222223,0.8249999999999998
J213927.09+022023.7,324.862875,2.339916666666667,0.17000000000000048
J214428.77+144606.2,326.119875,14.768388888888888,0.07700000000000051
J215138.86-485356.2,327.9119166666666,-48.898944444444446,0.6749999999999995
J215432.94+594213.7,328.63725,59.70380555555556,1.492999999999999
J220415.66-564723.5,331.06524999999993,-56.78986111111111,0.5499999999999995
J222829.00-431029.4,337.1208333333332,-43.17483333333333,1.2570000000000001
J225418.97+312352.2,343.5790416666666,31.397833333333335,0.7410000000000002
J230600.99+130225.2,346.50412499999993,13.040333333333333,2.1519999999999997
J231557.68+132255.6,348.9903333333333,13.382111111111112,1.8970000000000007
J232035.36+144830.2,350.1473333333333,14.80838888888889,1.667000000000002
J232123.83+135453.5,350.3492916666666,13.914861111111112,2.4859999999999993
J232802.12+134545.2,352.00883333333326,13.762555555555556,2.4429999999999983
J233123.87-471828.0,352.8494583333333,-47.30777777777777,0.7919999999999986
J233910.51+135218.8,354.7937916666666,13.87188888888889,0.7499999999999988
J235654.40-155318.5,359.22666666666663,-15.888472222222221,1.251
J001544.82+351600.0,3.93675,35.266666666666666,-0.3880000000000011
J003043.78+313931.8,7.682416666666665,31.65883333333333,-0.28400000000000014
J012912.38+351757.4,22.301583333333333,35.299277777777775,-0.2279999999999992
J013118.73+380155.0,22.82804166666666,38.03194444444444,-0.30999999999999994
J013535.83+120517.7,23.899291666666667,12.08825,-0.38799999999999935
J014435.67-071616.3,26.148625,-7.271194444444444,-0.3659999999999991
J014733.46+345310.5,26.889416666666662,34.88625,-0.32499999999999873
J020333.45-010813.4,30.88937499999999,-1.1370555555555555,0.013999999999999901
J020503.70+125142.2,31.265416666666667,12.861722222222221,-0.24599999999999989
J020529.69-115929.1,31.373708333333333,-11.991416666666666,-0.18900000000000128
J020735.76+135554.4,31.898999999999994,13.931777777777777,-0.39
J020818.65+254253.0,32.07770833333333,25.71472222222222,-0.3709999999999999
J020823.82+273738.7,32.09924999999999,27.62741666666667,-0.3269999999999994
J020854.98+250049.0,32.22908333333333,25.01361111111111,-0.23499999999999888
J021828.98-313324.1,34.620749999999994,-31.556694444444446,-0.3220000000000004
J021928.20-193842.7,34.86749999999999,-19.645194444444446,-0.42000000000000115
J022710.62-162450.7,36.79425,-16.41408333333333,-0.3950000000000008
J022811.20+253737.8,37.04666666666667,25.627166666666668,-0.406
J023015.66+270405.9,37.56525,27.068305555555554,-0.37600000000000067
J023547.53-084919.7,38.94804166666667,-8.822138888888889,-0.3709999999999999
